,height,v,ori,start_x,ball_d,g,unit,s_expect,pix_w,pix_h,scale,h0,id,rt,s,points,name,sex,age,exp_num,distance,est,g_inv,date
83,0.4,1.0,right,1.7,0.05715,9.8,m,0.2857142857142857,3200,1800,800.0,-600.0,83,2.764510999986669,0.44875,0.8369642857142857,tty,male,21,1,50,0.44875,3.9726569471062456,20/10/18
84,0.4,2.4,left,1.7,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0,84,3.697174900007667,-0.50875,0.8230357142857144,tty,male,21,1,50,0.50875,17.803427729717654,20/10/18
85,0.4,1.7,left,2.0,0.05715,9.8,m,0.48571428571428565,3200,1800,800.0,-600.0,85,4.235101300000679,-0.465,0.9792857142857143,tty,male,21,1,50,0.465,10.692565614521907,20/10/18
86,0.8,1.7,right,1.7,0.05715,9.8,m,0.6869037302955032,3200,1800,800.0,-600.0,86,5.76594019998447,0.81,0.8769037302955032,tty,male,21,1,50,0.81,7.047706142356346,20/10/18
87,1.2,1.0,right,2.0,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0,87,2.889148299989756,0.4525,0.9576283406946066,tty,male,21,1,50,0.4525,11.721253929977717,20/10/18
88,1.6,2.4,left,1.7,0.05715,9.8,m,1.3714285714285712,3200,1800,800.0,-600.0,88,2.1770716000173707,-1.2175,0.8460714285714288,tty,male,21,1,50,1.2175,12.434677381951264,20/10/18
89,0.8,1.0,right,2.0,0.05715,9.8,m,0.40406101782088427,3200,1800,800.0,-600.0,89,1.4477122999960557,0.43625,0.9678110178208843,tty,male,21,1,50,0.43625,8.40715593468034,20/10/18
90,0.4,2.4,left,2.0,0.05715,9.8,m,0.6857142857142856,3200,1800,800.0,-600.0,90,2.133523399999831,-0.51875,0.8330357142857144,tty,male,21,1,50,0.51875,17.12364639280011,20/10/18
91,1.2,1.0,left,1.7,0.05715,9.8,m,0.49487165930539345,3200,1800,800.0,-600.0,91,3.9687026999890804,-0.4275,0.9326283406946065,tty,male,21,1,50,0.4275,13.13224581922643,20/10/18
92,0.8,2.4,right,2.0,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0,92,2.7963805999897886,0.70875,0.7390035572298778,tty,male,21,1,50,0.70875,18.34663083340332,20/10/18
93,1.2,1.7,left,2.0,0.05715,9.8,m,0.8412818208191688,3200,1800,800.0,-600.0,93,6.395538000011584,-0.83875,0.9974681791808312,tty,male,21,1,50,0.83875,9.859253155532258,20/10/18
94,0.8,2.4,left,2.0,0.05715,9.8,m,0.9697464427701222,3200,1800,800.0,-600.0,94,5.559939500002656,-0.6175,0.6477535572298778,tty,male,21,1,50,0.6175,24.1695487551017,20/10/18
95,1.6,2.4,right,2.0,0.05715,9.8,m,1.3714285714285712,3200,1800,800.0,-600.0,95,22.40097409998998,1.13875,0.7673214285714287,tty,male,21,1,50,1.13875,14.213979402858826,20/10/18
